"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"633","Welp. Just got an email from @Delta with changes that will ensure I never get Diamond status. Time for a new Airline program I think.",FALSE,2,NA,2017-09-26 16:37:32,FALSE,NA,"912717786048114689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blevdog_",0,FALSE,FALSE,NA,NA
"634","...And I'm cancelling that CC. Who's with me? #canceldeltacard @delta https://t.co/psZg2bl9wi",FALSE,0,NA,2017-09-26 16:37:18,FALSE,NA,"912717729651679233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aslawetsky",0,FALSE,FALSE,NA,NA
"635","jesus @delta that's... a big difference https://t.co/Qct8cFfPeF",FALSE,3,NA,2017-09-26 16:37:17,FALSE,NA,"912717723456737280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","markwby",0,FALSE,FALSE,NA,NA
"636","Lol @Delta @AmericanExpress 

$250,000 spend<ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>

Good thing I fly to earn my status! https://t.co/hDGsND4whU",FALSE,1,NA,2017-09-26 16:37:13,FALSE,NA,"912717706893258752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Stan_Cherry",0,FALSE,FALSE,NA,NA
"637","@Delta dumbest move by airline loyalty program I've ever seen. $250,000? Just force Diamonds to meet the MQDs like… https://t.co/OuYSFxTjMN",FALSE,1,"Delta",2017-09-26 16:37:12,TRUE,NA,"912717703319887873","5920532","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","padraig5762",0,FALSE,FALSE,NA,NA
"638","@Delta credit card holders will have to spend $250,000 to qualify for 2019 diamond status and have the mqds waived. Wtf delta.",FALSE,1,"Delta",2017-09-26 16:37:10,FALSE,NA,"912717694855651328","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TravelCharlie8",0,FALSE,FALSE,NA,NA
"639","@cwwhite212 @Delta I think u recruited us to that amex. Fun while it lasted!",FALSE,2,"cwwhite212",2017-09-26 16:36:57,FALSE,"912712396774535169","912717641525194752","2377771243","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jakinlaw",0,FALSE,FALSE,NA,NA
"640","Whelp a free @delta companion certificate may not be worth keeping the @AskAmex card after this year. https://t.co/usGUskfOjB",FALSE,1,NA,2017-09-26 16:36:53,FALSE,NA,"912717625112846337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ahhyut",0,FALSE,FALSE,NA,NA
"641","I took a flight from NY to SG, had 2 xtra bags, website said cost was 75 USD per bag, at airport they charged me 20… https://t.co/XDrNs3F3x1",FALSE,1,NA,2017-09-26 16:35:59,TRUE,NA,"912717398037237760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","er_yamin",0,FALSE,FALSE,NA,NA
"642","@Delta 10x jump in @AmericanExpress spend requirement for diamond medallion must be a typo",FALSE,0,"Delta",2017-09-26 16:35:58,FALSE,NA,"912717394153312256","5920532","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brianmillman",0,FALSE,FALSE,NA,NA
